"Gene","padj_1","p_value_1","lfcSE.x","stat.x","log2FC_1","baseMean.x","Symbol.x","Description.x","padj_2","p_value_2","lfcSE.y","stat.y","log2FC_2","baseMean.y","Symbol.y","Description.y","Regulation"
1992,3.31e-08,1.29e-09,0.222,-6.0682172,-1.3474253,10125.51,"SERPINB1","serpin family B member 1",0.999,0.695,0.2683,-0.392037,-0.105167,6807.74,"SERPINB1","serpin family B member 1","Downregulated"
2012,5.99e-05,8.31e-06,0.2473,-4.4570546,-1.1020393,181.22,"EMP1","epithelial membrane protein 1",0.999,0.909,0.4062,0.1145262,0.046526,118.52,"EMP1","epithelial membrane protein 1","Downregulated"
2034,1.86e-05,2.11e-06,0.2451,-4.7423598,-1.1622436,214.29,"EPAS1","endothelial PAS domain protein 1",0.891,0.279,0.2238,-1.0824082,-0.2422962,90.01,"EPAS1","endothelial PAS domain protein 1","Downregulated"
2040,2.2e-09,5.12e-11,0.2245,-6.5673584,-1.4744844,14353.55,"STOM","stomatin",0.595,0.0885,0.1391,-1.7035621,-0.2369715,3670.72,"STOM","stomatin","Downregulated"
2180,2.3e-10,3.35e-12,0.2502,-6.9624004,-1.7419802,88803.78,"ACSL1","acyl-CoA synthetase long chain family member 1",0.999,0.816,0.4348,-0.2331199,-0.1013656,5080.99,"ACSL1","acyl-CoA synthetase long chain family member 1","Downregulated"
2352,1.12e-05,1.17e-06,0.309,-4.85981,-1.5018714,1927.08,"FOLR3","folate receptor gamma",0.999,0.489,0.637,-0.6913062,-0.4403551,343.95,"FOLR3","folate receptor gamma","Downregulated"
2713,2.94e-05,3.63e-06,0.2456,-4.6315802,-1.137552,373.75,"GK3","glycerol kinase 3",0.999,0.488,0.156,0.6933016,0.1081729,112.84,"GK3","glycerol kinase 3","Downregulated"
2730,4.78e-18,1.16e-21,0.1301,-9.5617805,-1.2438907,1300.01,"GCLM","glutamate-cysteine ligase modifier subunit",0.999,0.745,0.1831,-0.3257056,-0.0596327,759.88,"GCLM","glutamate-cysteine ligase modifier subunit","Downregulated"
2850,3.34e-08,1.31e-09,0.2004,-6.0666876,-1.215955,2221.05,"GPR27","G protein-coupled receptor 27",0.999,0.845,0.423,-0.1956856,-0.0827797,373.23,"GPR27","G protein-coupled receptor 27","Downregulated"
2887,4.26e-05,5.61e-06,0.3418,-4.5407494,-1.5518121,1116.91,"GRB10","growth factor receptor bound protein 10",0.917,0.307,0.2874,1.020526,0.2933076,317.93,"GRB10","growth factor receptor bound protein 10","Downregulated"
3082,8.89e-10,1.72e-11,0.28,-6.7276851,-1.8840687,1583.67,"HGF","hepatocyte growth factor",0.999,0.999,0.6593,-0.0017162,-0.0011315,505.52,"HGF","hepatocyte growth factor","Downregulated"
3087,1.11e-09,2.24e-11,0.1705,-6.6897602,-1.1406871,907.29,"HHEX","hematopoietically expressed homeobox",0.999,0.957,0.5747,-0.0535432,-0.0307722,1055.26,"HHEX","hematopoietically expressed homeobox","Downregulated"
3101,2.88e-10,4.3e-12,0.1969,-6.9269902,-1.3636129,12812.58,"HK3","hexokinase 3",0.999,0.9,0.6212,-0.12539,-0.0778952,10860.45,"HK3","hexokinase 3","Downregulated"
3250,3.11e-10,4.74e-12,0.2966,-6.9131346,-2.0507039,270.16,"HPR","haptoglobin-related protein",0.729,0.152,0.2244,1.4330758,0.3215643,30.22,"HPR","haptoglobin-related protein","Downregulated"
3433,0.000154,2.53e-05,0.3419,-4.2119476,-1.4398563,29638.43,"IFIT2","interferon induced protein with tetratricopeptide repeats 2",0.999,0.921,0.3052,0.0993296,0.0303148,1252.12,"IFIT2","interferon induced protein with tetratricopeptide repeats 2","Downregulated"
3434,4.76e-05,6.39e-06,0.4486,-4.5130722,-2.0245269,14351.61,"IFIT1","interferon induced protein with tetratricopeptide repeats 1",0.999,0.813,0.2662,0.2364087,0.062922,483.61,"IFIT1","interferon induced protein with tetratricopeptide repeats 1","Downregulated"
3437,7.81e-05,1.14e-05,0.4041,-4.3897066,-1.7738163,26963.35,"IFIT3","interferon induced protein with tetratricopeptide repeats 3",0.999,0.944,0.3786,0.0706554,0.0267519,762.43,"IFIT3","interferon induced protein with tetratricopeptide repeats 3","Downregulated"
3554,0.000382,7.29e-05,0.3975,-3.966652,-1.5769053,1571.23,"IL1R1","interleukin 1 receptor type 1",0.999,0.82,0.377,-0.2281354,-0.0860115,163.43,"IL1R1","interleukin 1 receptor type 1","Downregulated"
3732,1.13e-08,3.62e-10,0.1794,-6.2694388,-1.1244812,2228.92,"CD82","CD82 molecule",0.586,0.0844,0.1302,-1.7256968,-0.2246199,1612.48,"CD82","CD82 molecule","Downregulated"
4192,0.000492,9.83e-05,0.3036,-3.8947885,-1.1824699,32.68,"MDK","midkine",0.822,0.208,0.1122,1.259805,0.1413773,181.78,"MDK","midkine","Downregulated"
4651,1.6e-10,2.17e-12,0.2805,-7.0231088,-1.9700651,264.21,"MYO10","myosin X",0.999,0.886,0.3285,0.1428795,0.0469378,111.33,"MYO10","myosin X","Downregulated"
4709,3.06e-08,1.18e-09,0.2073,-6.0831889,-1.261256,422.32,"NDUFB3","NADH:ubiquinone oxidoreductase subunit B3",0.999,0.938,0.1251,0.0779448,0.0097507,467.05,"NDUFB3","NADH:ubiquinone oxidoreductase subunit B3","Downregulated"
5008,7.44e-09,2.23e-10,0.2448,-6.3444303,-1.5531238,742.57,"OSM","oncostatin M",0.00918,4.26e-05,0.1699,-4.0929099,-0.6954525,520.59,"OSM","oncostatin M","Downregulated"
5359,1.62e-08,5.44e-10,0.2707,-6.205983,-1.6797543,12020.88,"PLSCR1","phospholipid scramblase 1",0.999,0.737,0.3443,-0.3354806,-0.1155051,1712.06,"PLSCR1","phospholipid scramblase 1","Downregulated"
5552,4.66e-11,4.97e-13,0.1944,-7.2260051,-1.4047746,61605.86,"SRGN","serglycin",0.999,0.501,0.3336,-0.6731633,-0.2245715,16247.2,"SRGN","serglycin","Downregulated"
5627,0.00774,0.00253,0.3746,-3.0191716,-1.1308365,699.73,"PROS1","protein S",0.999,0.645,0.2639,-0.4602607,-0.121444,23.72,"PROS1","protein S","Downregulated"
5836,6.51e-09,1.92e-10,0.1986,-6.3674897,-1.2646702,22776.65,"PYGL","glycogen phosphorylase L",0.999,0.816,0.6121,-0.2331835,-0.1427383,3355.22,"PYGL","glycogen phosphorylase L","Downregulated"
6036,4.09e-11,4.2e-13,0.2726,-7.2489913,-1.9758458,976.82,"RNASE2","ribonuclease A family member 2",0.999,0.851,0.6868,-0.1877476,-0.1289439,432.8,"RNASE2","ribonuclease A family member 2","Downregulated"
6303,2.22e-11,1.92e-13,0.1554,-7.354099,-1.1425506,17910.15,"SAT1","spermidine/spermine N1-acetyltransferase 1",0.999,0.826,0.3743,0.220418,0.0825023,9933.37,"SAT1","spermidine/spermine N1-acetyltransferase 1","Downregulated"
6331,0.00384,0.0011,0.3922,-3.2630257,-1.2796374,41.51,"SCN5A","sodium voltage-gated channel alpha subunit 5",0.999,0.531,0.3915,-0.6270232,-0.2454717,18.26,"SCN5A","sodium voltage-gated channel alpha subunit 5","Downregulated"
6484,3.83e-08,1.53e-09,0.2314,-6.040763,-1.3976365,1020,"ST3GAL4","ST3 beta-galactoside alpha-2,3-sialyltransferase 4",0.999,0.642,0.1888,-0.4650352,-0.0878154,304.24,"ST3GAL4","ST3 beta-galactoside alpha-2,3-sialyltransferase 4","Downregulated"
6515,6.3e-11,7.01e-13,0.213,-7.1791669,-1.5293028,34962.02,"SLC2A3","solute carrier family 2 member 3",0.871,0.252,0.1577,-1.1443443,-0.1804661,6926.17,"SLC2A3","solute carrier family 2 member 3","Downregulated"
6583,2.85e-08,1.08e-09,0.1975,-6.0972174,-1.2042761,2844.18,"SLC22A4","solute carrier family 22 member 4",0.999,0.607,0.4352,0.5142947,0.2238129,478.09,"SLC22A4","solute carrier family 22 member 4","Downregulated"
7039,1.98e-09,4.5e-11,0.2037,-6.5867033,-1.341737,2002.28,"TGFA","transforming growth factor alpha",0.999,0.618,0.1703,-0.498907,-0.0849709,176.68,"TGFA","transforming growth factor alpha","Downregulated"
7100,1.19e-11,9.13e-14,0.2437,-7.452983,-1.8164053,3326.9,"TLR5","toll like receptor 5",0.999,0.813,0.4677,-0.2362811,-0.1105101,1457.97,"TLR5","toll like receptor 5","Downregulated"
7378,1.21e-09,2.52e-11,0.208,-6.6719404,-1.3877895,2073.31,"UPP1","uridine phosphorylase 1",0.999,0.495,0.1138,-0.683163,-0.0777357,2292.98,"UPP1","uridine phosphorylase 1","Downregulated"
7504,0.000155,2.54e-05,0.3087,-4.2113662,-1.3001291,3627.03,"XK","X-linked Kx blood group antigen, Kell and VPS13A binding protein",0.607,0.0951,0.198,-1.6691213,-0.3304769,16.68,"XK","X-linked Kx blood group antigen, Kell and VPS13A binding protein","Downregulated"
7850,8.5e-05,1.25e-05,0.4132,-4.3678333,-1.8046429,11329.19,"IL1R2","interleukin 1 receptor type 2",0.975,0.394,0.543,-0.852536,-0.4629264,79.95,"IL1R2","interleukin 1 receptor type 2","Downregulated"
8120,1.67e-05,1.85e-06,0.2566,-4.769207,-1.2239869,57.35,"AP3B2","adaptor related protein complex 3 subunit beta 2",0.999,0.733,0.2618,0.3412456,0.0893299,60.36,"AP3B2","adaptor related protein complex 3 subunit beta 2","Downregulated"
8444,0.000483,9.63e-05,0.3609,-3.8998174,-1.4072527,258.72,"DYRK3","dual specificity tyrosine phosphorylation regulated kinase 3",0.984,0.414,0.3281,-0.8160741,-0.2677329,21.9,"DYRK3","dual specificity tyrosine phosphorylation regulated kinase 3","Downregulated"
8638,2.86e-05,3.5e-06,0.3086,-4.6391346,-1.4318228,4649.01,"OASL","2-5-oligoadenylate synthetase like",0.977,0.399,0.1915,-0.8429749,-0.1614187,528.37,"OASL","2-5-oligoadenylate synthetase like","Downregulated"
8676,6.64e-10,1.22e-11,0.1754,-6.7782506,-1.1886692,6118.48,"STX11","syntaxin 11",0.999,0.556,0.4571,-0.5884182,-0.2689464,6956,"STX11","syntaxin 11","Downregulated"
8743,7.97e-12,5.37e-14,0.1721,-7.5225112,-1.2949363,12417.11,"TNFSF10","TNF superfamily member 10",0.999,0.992,0.3348,-0.009436,-0.0031593,3560.1,"TNFSF10","TNF superfamily member 10","Downregulated"
8754,8.8e-15,9.95e-18,0.1738,-8.5744958,-1.4903304,2599,"ADAM9","ADAM metallopeptidase domain 9",0.999,0.845,0.4415,-0.1954535,-0.0862926,1146.78,"ADAM9","ADAM metallopeptidase domain 9","Downregulated"
8809,2.36e-08,8.57e-10,0.3204,-6.133941,-1.9652709,6806.63,"IL18R1","interleukin 18 receptor 1",0.986,0.42,0.4547,-0.8070924,-0.367005,553.57,"IL18R1","interleukin 18 receptor 1","Downregulated"
8825,1.02e-10,1.27e-12,0.1698,-7.0975664,-1.2054803,4497.91,"LIN7A","lin-7 homolog A, crumbs cell polarity complex component",0.999,0.91,0.6388,-0.1136511,-0.0726055,579.42,"LIN7A","lin-7 homolog A, crumbs cell polarity complex component","Downregulated"
8843,3.34e-09,8.56e-11,0.2158,-6.4903755,-1.4005139,2952.6,"HCAR3","hydroxycarboxylic acid receptor 3",0.999,0.613,0.6431,-0.5064068,-0.3256945,455.65,"HCAR3","hydroxycarboxylic acid receptor 3","Downregulated"
8875,1.6e-10,2.17e-12,0.2213,-7.023237,-1.5539255,50641.71,"VNN2","vanin 2",0.999,0.938,0.3805,-0.0775107,-0.0294913,3842.16,"VNN2","vanin 2","Downregulated"
8876,8.79e-09,2.7e-10,0.314,-6.3148689,-1.9829726,6293.65,"VNN1","vanin 1",0.999,0.981,0.6558,0.0239423,0.0157018,949.23,"VNN1","vanin 1","Downregulated"
8972,6.35e-10,1.14e-11,0.2251,-6.7873238,-1.5276302,22673.88,"MGAM","maltase-glucoamylase",0.999,0.486,0.4543,-0.6969125,-0.316637,410.8,"MGAM","maltase-glucoamylase","Downregulated"
9027,0.0116,0.00405,0.541,-2.8742904,-1.5550615,34.44,"NAT8","N-acetyltransferase 8 (putative)",0.877,0.262,0.3267,1.1223658,0.366627,9.66,"NAT8","N-acetyltransferase 8 (putative)","Downregulated"
9033,0.000794,0.000174,0.3214,-3.7544275,-1.2065865,12.97,"PKD2L1","polycystin 2 like 1, transient receptor potential cation channel",0.999,0.488,0.2218,0.6931658,0.1537215,12.24,"PKD2L1","polycystin 2 like 1, transient receptor potential cation channel","Downregulated"
9034,3.88e-05,5.01e-06,0.2499,-4.5643448,-1.1404076,556.06,"CCRL2","C-C motif chemokine receptor like 2",0.999,0.87,0.3659,-0.163324,-0.0597633,208.01,"CCRL2","C-C motif chemokine receptor like 2","Downregulated"
9365,1.19e-10,1.51e-12,0.3037,-7.073965,-2.1486301,189.39,"KL","klotho",0.999,0.605,0.4382,-0.5178347,-0.2268958,90.96,"KL","klotho","Downregulated"
9429,0.00981,0.00334,0.3765,-2.9345091,-1.1048766,246.81,"ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)",0.908,0.297,0.4796,-1.0429471,-0.5002031,41.15,"ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)","Downregulated"
9586,7.94e-09,2.42e-10,0.1912,-6.3320525,-1.2107732,8799.05,"CREB5","cAMP responsive element binding protein 5",0.999,0.828,0.6324,-0.2177069,-0.1376795,2547.32,"CREB5","cAMP responsive element binding protein 5","Downregulated"
10135,2.24e-11,1.96e-13,0.1901,-7.35119,-1.3976081,142068.96,"NAMPT","nicotinamide phosphoribosyltransferase",0.999,0.734,0.3813,-0.3403674,-0.1297665,3862.5,"NAMPT","nicotinamide phosphoribosyltransferase","Downregulated"
10211,6.02e-10,1.07e-11,0.1676,-6.7965208,-1.1392335,5141,"FLOT1","flotillin 1",0.999,0.659,0.1337,-0.4408702,-0.0589291,2668.16,"FLOT1","flotillin 1","Downregulated"
10501,4.08e-11,4.16e-13,0.2483,-7.2504043,-1.8004246,92.27,"SEMA6B","semaphorin 6B",0.874,0.255,0.6768,-1.1386585,-0.7706636,152.27,"SEMA6B","semaphorin 6B","Downregulated"
10561,3.27e-05,4.09e-06,0.3773,-4.6065195,-1.7381129,14053.99,"IFI44","interferon induced protein 44",0.999,0.817,0.1843,0.2316783,0.0426889,1289.52,"IFI44","interferon induced protein 44","Downregulated"
10673,3.3e-10,5.14e-12,0.2239,-6.9015244,-1.545049,8604.38,"TNFSF13B","TNF superfamily member 13b",0.999,0.933,0.4839,-0.0839816,-0.0406392,2528,"TNFSF13B","TNF superfamily member 13b","Downregulated"
10804,3.73e-05,4.79e-06,0.3049,-4.573761,-1.394631,71.1,"GJB6","gap junction protein beta 6",0.999,0.673,0.4362,0.4225594,0.1843228,23.9,"GJB6","gap junction protein beta 6","Downregulated"
10855,2.35e-11,2.09e-13,0.1753,-7.3431194,-1.287565,1590.46,"HPSE","heparanase",0.999,0.921,0.3885,0.0987555,0.0383655,2517.09,"HPSE","heparanase","Downregulated"
10911,0.00955,0.00324,0.4559,-2.9440622,-1.3421052,31.72,"UTS2","urotensin 2",0.547,0.0712,0.4394,-1.8044185,-0.7928044,67.51,"UTS2","urotensin 2","Downregulated"
10924,2.32e-09,5.49e-11,0.2294,-6.5569132,-1.504167,478.59,"SMPDL3A","sphingomyelin phosphodiesterase acid like 3A",0.999,0.95,0.6321,-0.0632278,-0.0399649,309.98,"SMPDL3A","sphingomyelin phosphodiesterase acid like 3A","Downregulated"
10964,0.000617,0.000129,0.4922,-3.8290374,-1.8846132,20283.74,"IFI44L","interferon induced protein 44 like",0.999,0.526,0.2812,0.6344086,0.1783957,961.33,"IFI44L","interferon induced protein 44 like","Downregulated"
10970,2.99e-11,2.78e-13,0.184,-7.3044937,-1.3440821,3747.55,"CKAP4","cytoskeleton associated protein 4",0.999,0.906,0.3994,0.1175973,0.046964,2697.75,"CKAP4","cytoskeleton associated protein 4","Downregulated"
10981,6.2e-09,1.82e-10,0.1906,-6.3761473,-1.2155853,2124.08,"RAB32","RAB32, member RAS oncogene family",0.999,0.941,0.6021,-0.0740708,-0.0446011,1221.27,"RAB32","RAB32, member RAS oncogene family","Downregulated"
11213,3.23e-08,1.25e-09,0.2204,-6.0732305,-1.3384194,14026.82,"IRAK3","interleukin 1 receptor associated kinase 3",0.999,0.964,0.6246,-0.0452162,-0.0282427,7602.49,"IRAK3","interleukin 1 receptor associated kinase 3","Downregulated"
22915,7.46e-05,1.07e-05,0.3115,-4.4019912,-1.3713247,1830.59,"MMRN1","multimerin 1",0.999,0.484,0.3402,-0.6997184,-0.2380423,43.26,"MMRN1","multimerin 1","Downregulated"
23001,1.44e-09,3.1e-11,0.1929,-6.6415639,-1.2810693,19757.58,"WDFY3","WD repeat and FYVE domain containing 3",0.999,0.935,0.6168,-0.0811495,-0.0500498,4959.49,"WDFY3","WD repeat and FYVE domain containing 3","Downregulated"
23500,0.000579,0.000119,0.4482,-3.847729,-1.7246276,164.42,"DAAM2","dishevelled associated activator of morphogenesis 2",0.999,0.642,0.4164,0.4643746,0.1933563,13.73,"DAAM2","dishevelled associated activator of morphogenesis 2","Downregulated"
23564,5.93e-10,1.05e-11,0.2166,-6.799417,-1.4724399,1579.91,"DDAH2","dimethylarginine dimethylaminohydrolase 2",0.999,0.76,0.2278,-0.3052486,-0.0695481,519.19,"DDAH2","dimethylarginine dimethylaminohydrolase 2","Downregulated"
25797,8.5e-11,1.01e-12,0.1867,-7.12895,-1.3307501,8291.92,"QPCT","glutaminyl-peptide cyclotransferase",0.999,0.839,0.6278,-0.2028012,-0.1273221,1251.99,"QPCT","glutaminyl-peptide cyclotransferase","Downregulated"
25801,3.86e-10,6.26e-12,0.205,-6.8736264,-1.4093482,44684.01,"GCA","grancalcin",0.999,0.957,0.461,0.0545115,0.0251288,3333.02,"GCA","grancalcin","Downregulated"
26010,0.00507,0.00153,0.3724,-3.1697584,-1.180343,834.93,"SPATS2L","spermatogenesis associated serine rich 2 like",0.912,0.302,0.1376,-1.0331783,-0.1421824,234.77,"SPATS2L","spermatogenesis associated serine rich 2 like","Downregulated"
26234,1.94e-14,2.37e-17,0.1471,-8.4741207,-1.2465522,43217.97,"FBXL5","F-box and leucine rich repeat protein 5",0.999,0.667,0.2941,-0.4298891,-0.126421,9717.54,"FBXL5","F-box and leucine rich repeat protein 5","Downregulated"
29775,0.0218,0.00861,0.437,-2.6271564,-1.1481584,12.71,"CARD10","caspase recruitment domain family member 10",0.895,0.282,0.2913,-1.0756679,-0.3133223,10.98,"CARD10","caspase recruitment domain family member 10","Downregulated"
30061,6.34e-11,7.08e-13,0.1659,-7.1778729,-1.1911475,7572.18,"SLC40A1","solute carrier family 40 member 1",0.999,0.875,0.2709,0.1579323,0.0427806,2463.48,"SLC40A1","solute carrier family 40 member 1","Downregulated"
50486,4.62e-08,1.89e-09,0.311,-6.0068028,-1.8680668,194.14,"G0S2","G0/G1 switch 2",0.00499,1.78e-05,0.5368,-4.2902704,-2.3030356,279.88,"G0S2","G0/G1 switch 2","Downregulated"
51100,1.14e-11,8.62e-14,0.1622,-7.4604637,-1.2097242,11761.37,"SH3GLB1","SH3 domain containing GRB2 like, endophilin B1",0.999,0.511,0.1238,-0.6570895,-0.0813407,4365.93,"SH3GLB1","SH3 domain containing GRB2 like, endophilin B1","Downregulated"
