GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
101927770	2.10e-03	4.45e-06	0.0895	4.5889822	0.4108457	208.8	LOC101927770	uncharacterized LOC101927770
113218501	2.10e-03	4.10e-06	0.5261	-4.60638	-2.4232128	232.13	MIR10396A	microRNA 10396a
100996756	2.24e-03	4.88e-06	0.1951	-4.5699331	-0.8917793	331.3	LOC100996756	uncharacterized LOC100996756
102465442	2.44e-03	5.42e-06	0.136	4.5476834	0.6183497	15.92	MIR6738	microRNA 6738
101954264	2.46e-03	5.59e-06	0.1865	-4.5413439	-0.84711	147.8	RNVU1-4	RNA, variant U1 small nuclear 4
6829	2.65e-03	6.15e-06	0.0305	-4.5211449	-0.1379699	5083.29	SUPT5H	SPT5 homolog, DSIF elongation factor subunit
729092	2.67e-03	6.33e-06	0.0429	4.5149725	0.1937051	153.14	AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5
112268222	2.68e-03	6.47e-06	0.0376	-4.5104819	-0.1697012	1538.01	LOC112268222	
2498	2.90e-03	7.19e-06	0.1373	4.4878466	0.6162981	29.48	FTH1P3	ferritin heavy chain 1 pseudogene 3
101929072	2.90e-03	7.28e-06	0.0879	-4.4852284	-0.3943412	306.87	MICA-AS1	MICA antisense RNA 1
79969	2.92e-03	7.52e-06	0.0553	4.4784487	0.2474555	242.78	ATAT1	alpha tubulin acetyltransferase 1
26263	2.92e-03	7.62e-06	0.0379	4.4755061	0.1695751	611.73	FBXO22	F-box protein 22
79647	3.03e-03	8.06e-06	0.0456	-4.4634894	-0.2034807	3197.91	AKIRIN1	akirin 1
26122	3.44e-03	9.64e-06	0.0376	-4.4251006	-0.1664607	2812.84	EPC2	enhancer of polycomb homolog 2
55582	3.44e-03	9.51e-06	0.0552	4.4279141	0.2442976	229.41	KIF27	kinesin family member 27
164312	3.44e-03	9.50e-06	0.0962	4.4282281	0.425959	84.78	LRRN4	leucine rich repeat neuronal 4
5970	3.44e-03	9.81e-06	0.0341	-4.421247	-0.1509566	3578.37	RELA	RELA proto-oncogene, NF-kB subunit
64771	3.47e-03	1.03e-05	0.0444	-4.409837	-0.1959097	4945.58	ILRUN	inflammation and lipid regulator with UBA-like and NBR1-like domains
64922	3.47e-03	1.06e-05	0.1293	4.4053669	0.5697828	33.7	LRRC19	leucine rich repeat containing 19
54663	3.47e-03	1.02e-05	0.1857	-4.4123947	-0.8191753	10390.99	WDR74	WD repeat domain 74
677813	3.47e-03	1.05e-05	0.1128	4.4072752	0.4969456	25.81	SNORA30	small nucleolar RNA, H/ACA box 30
101954272	3.51e-03	1.09e-05	0.1695	-4.3992648	-0.7455186	58.63	RNVU1-3	RNA, variant U1 small nuclear 3
56478	3.54e-03	1.11e-05	0.0205	4.3938902	0.0898772	1713.74	EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1
112268225	3.70e-03	1.19e-05	0.0894	4.3795089	0.3914408	66.27	LOC112268225	uncharacterized LOC112268225
55627	3.70e-03	1.20e-05	0.027	-4.3779079	-0.118218	2386.65	SMPD4	sphingomyelin phosphodiesterase 4
6060	3.88e-03	1.29e-05	0.2262	-4.3611077	-0.9865215	426.16	RNU1-4	RNA, U1 small nuclear 4
102723765	3.88e-03	1.28e-05	0.4463	4.3641261	1.9475939	30.11	LOC102723765	uncharacterized LOC102723765
100847044	4.26e-03	1.44e-05	0.3463	-4.3370522	-1.5017232	262.54	MIR5087	microRNA 5087
51540	4.26e-03	1.46e-05	0.0397	-4.3346675	-0.1720114	262.75	SCLY	selenocysteine lyase
26834	4.28e-03	1.49e-05	0.2029	-4.3302623	-0.8787009	200.05	RNU4-2	RNA, U4 small nuclear 2
353274	4.70e-03	1.66e-05	0.0311	4.306717	0.1339601	3301.74	ZNF445	zinc finger protein 445
50486	4.99e-03	1.78e-05	0.5368	-4.2902704	-2.3030356	279.88	G0S2	G0/G1 switch 2
3912	5.50e-03	1.99e-05	0.0939	4.2655439	0.4003757	210.89	LAMB1	laminin subunit beta 1
9308	5.98e-03	2.20e-05	0.4105	-4.2439156	-1.7423349	1214.21	CD83	CD83 molecule
25898	6.22e-03	2.31e-05	0.0491	-4.2323579	-0.2078787	1161.46	RCHY1	ring finger and CHY zinc finger domain containing 1
57455	6.44e-03	2.43e-05	0.0293	-4.2213167	-0.1236245	3143.06	REXO1	RNA exonuclease 1 homolog
80149	6.76e-03	2.60e-05	0.1147	-4.2060783	-0.4826394	1349.73	ZC3H12A	zinc finger CCCH-type containing 12A
105379524	6.76e-03	2.61e-05	0.2221	-4.2047266	-0.9336815	1755.19	LOC105379524	uncharacterized LOC105379524
26863	6.90e-03	2.70e-05	0.1977	-4.1975017	-0.829678	206.62	RNVU1-18	RNA, variant U1 small nuclear 18
113939925	7.20e-03	2.85e-05	0.0404	4.1849539	0.1691508	367.49	BMS1P4-AGAP5	BMS1P4-AGAP5 readthrough
1743	7.49e-03	3.08e-05	0.0241	-4.1678117	-0.1003412	2708.52	DLST	dihydrolipoamide S-succinyltransferase
105370664	7.49e-03	3.07e-05	0.1285	4.1678429	0.5355507	63.79	LOC105370664	uncharacterized LOC105370664
414059	7.49e-03	3.04e-05	0.0866	4.1704637	0.3610335	68.78	TBC1D3B	TBC1 domain family member 3B
26528	7.77e-03	3.27e-05	0.0346	-4.1539561	-0.1437985	4406.98	DAZAP1	DAZ associated protein 1
100189324	7.77e-03	3.25e-05	0.3268	-4.1550992	-1.3578485	95.52	TRI-TAT1-1	tRNA-Ile (anticodon TAT) 1-1
100506374	7.81e-03	3.32e-05	0.097	4.1501525	0.4025171	128.66	EDDM13	epididymal protein 13
51738	7.99e-03	3.44e-05	0.0634	4.1425071	0.2627582	395.31	GHRL	ghrelin and obestatin prepropeptide
102465909	8.03e-03	3.54e-05	0.0961	4.1357722	0.397568	23.44	MIR6859-2	microRNA 6859-2
79635	8.03e-03	3.61e-05	0.08	4.1311576	0.3306256	105.75	CCDC121	coiled-coil domain containing 121
728927	8.03e-03	3.54e-05	0.0486	4.1354323	0.2010717	1436.37	ZNF736	zinc finger protein 736
112268063	8.03e-03	3.58e-05	0.1046	4.1333003	0.4322699	190.37	LOC112268063	uncharacterized LOC112268063
100616368	8.27e-03	3.75e-05	0.1127	4.122105	0.4646296	14.16	MIR4688	microRNA 4688
400541	8.77e-03	4.03e-05	0.0852	-4.1060008	-0.3499192	126.45	LOC400541	uncharacterized LOC400541
5008	9.18e-03	4.26e-05	0.1699	-4.0929099	-0.6954525	520.59	OSM	oncostatin M
337873	9.34e-03	4.43e-05	0.0918	4.0836964	0.3749015	138.86	H2BC20P	H2B clustered histone 20, pseudogene
4796	9.34e-03	4.39e-05	0.063	-4.0859134	-0.257579	370.65	TONSL	tonsoku like, DNA repair protein
169841	9.34e-03	4.47e-05	0.0489	4.0819159	0.1995556	502.19	ZNF169	zinc finger protein 169
100506071	9.44e-03	4.56e-05	0.1619	4.0770649	0.6600597	55.29	LOC100506071	uncharacterized LOC100506071
84287	9.68e-03	4.73e-05	0.0304	4.0687934	0.1236803	941.94	ZDHHC16	zinc finger DHHC-type palmitoyltransferase 16
57412	1.01e-02	5.00e-05	0.1233	4.0554104	0.4998348	54.2	AS3MT	arsenite methyltransferase
727676	1.01e-02	4.97e-05	0.2024	-4.057239	-0.8210908	293.42	SNORD118	small nucleolar RNA, C/D box 118
56063	1.01e-02	5.15e-05	0.047	4.0485395	0.1904666	503.92	TMEM234	transmembrane protein 234
80344	1.01e-02	5.18e-05	0.0359	-4.0474187	-0.1452657	3504.97	DCAF11	DDB1 and CUL4 associated factor 11
7543	1.01e-02	5.13e-05	0.0728	-4.0494985	-0.2946546	4455.68	ZFX	zinc finger protein X-linked
102466730	1.13e-02	5.85e-05	0.0995	4.0186184	0.3999094	26.73	MIR6764	microRNA 6764
84640	1.14e-02	5.93e-05	0.0433	-4.0157521	-0.1739364	2903.53	USP38	ubiquitin specific peptidase 38
81532	1.15e-02	6.05e-05	0.0493	-4.0109567	-0.1975415	1132.81	MOB2	MOB kinase activator 2
91749	1.19e-02	6.34e-05	0.0542	3.9999299	0.2167129	883.19	MFSD4B	major facilitator superfamily domain containing 4B
79573	1.20e-02	6.48e-05	0.0422	3.9944519	0.1685328	2381.57	TTC13	tetratricopeptide repeat domain 13
3512	1.20e-02	6.51e-05	0.3641	-3.9933376	-1.454063	27.92	JCHAIN	joining chain of multimeric IgA and IgM
100507495	1.23e-02	6.70e-05	0.0764	3.9866354	0.3045301	483.27	SDCBP2-AS1	SDCBP2 antisense RNA 1
7260	1.26e-02	6.99e-05	0.048	-3.9766766	-0.1909678	676.01	EIPR1	EARP complex and GARP complex interacting protein 1
170589	1.26e-02	6.95e-05	0.1381	3.9778662	0.5494119	23.41	GPHA2	glycoprotein hormone subunit alpha 2
9739	1.26e-02	7.09e-05	0.032	-3.9732344	-0.1269826	2934.95	SETD1A	SET domain containing 1A, histone lysine methyltransferase
56255	1.29e-02	7.27e-05	0.0707	-3.967293	-0.2805032	5311.83	TMX4	thioredoxin related transmembrane protein 4
90342	1.29e-02	7.37e-05	0.1061	3.9640547	0.4206812	29.58	FER1L5	fer-1 like family member 5
56260	1.30e-02	7.50e-05	0.0932	3.9598707	0.3689256	154.83	C8orf44	chromosome 8 putative open reading frame 44
677808	1.32e-02	7.67e-05	0.2283	-3.9545974	-0.9029391	86.28	SNORA23	small nucleolar RNA, H/ACA box 23
10383	1.34e-02	7.81e-05	0.0921	-3.9501234	-0.363965	3244.85	TUBB4B	tubulin beta 4B class IVb
10677	1.34e-02	7.89e-05	0.0895	3.9475897	0.3532038	339.87	AVIL	advillin
102465482	1.36e-02	8.09e-05	0.102	3.9417295	0.4019924	19.66	MIR6804	microRNA 6804
107986603	1.37e-02	8.20e-05	0.1212	3.9384648	0.4774318	64.32	LOC107986603	
105376577	1.39e-02	8.38e-05	0.1229	3.9333774	0.483567	80.56	LOC105376577	uncharacterized LOC105376577
105371507	1.40e-02	8.52e-05	0.1083	3.9293712	0.4254076	206.05	LOC105371507	uncharacterized LOC105371507
112268256	1.41e-02	8.63e-05	0.0781	3.9262705	0.3066631	144.13	LOC112268256	
143570	1.44e-02	8.89e-05	0.0722	-3.9189521	-0.2827561	1765.48	XRRA1	X-ray radiation resistance associated 1
152217	1.47e-02	9.16e-05	0.0608	-3.9118888	-0.237707	668.42	NCBP2AS2	NCBP2 antisense 2 (head to head)
220972	1.58e-02	9.92e-05	0.0485	-3.8925737	-0.1888458	2912.3	MARCHF8	membrane associated ring-CH-type finger 8
101928762	1.58e-02	1.00e-04	0.0766	3.8904491	0.2981389	315.52	LOC101928762	uncharacterized LOC101928762
55258	1.63e-02	1.05e-04	0.2742	3.8798299	1.0636603	86.16	THNSL2	threonine synthase like 2
57573	1.63e-02	1.04e-04	0.2528	3.8810335	0.9812411	63.14	ZNF471	zinc finger protein 471
107986924	1.64e-02	1.06e-04	0.4669	-3.8753859	-1.8093342	45.67	LOC107986924	uncharacterized LOC107986924
102465910	1.66e-02	1.08e-04	0.0992	3.8718523	0.3839816	20.97	MIR6859-3	microRNA 6859-3
102724475	1.74e-02	1.14e-04	0.2715	3.8576495	1.0475368	28.32	LOC102724475	
844	1.76e-02	1.18e-04	0.2549	-3.8508785	-0.9816337	30.84	CASQ1	calsequestrin 1
55105	1.76e-02	1.20e-04	0.0378	3.8463246	0.1454374	606.99	GPATCH2	G-patch domain containing 2
153684	1.76e-02	1.18e-04	0.0647	3.850788	0.2491795	778.1	ANXA2R-AS1	ANXA2R antisense RNA 1
7162	1.76e-02	1.19e-04	0.2768	-3.8489584	-1.0654998	78.61	TPBG	trophoblast glycoprotein
64224	1.76e-02	1.19e-04	0.0618	-3.8478424	-0.2379727	3667.94	HERPUD2	HERPUD family member 2
257062	1.78e-02	1.22e-04	0.182	-3.8416202	-0.699308	14.83	CATSPERD	cation channel sperm associated auxiliary subunit delta
107984023	1.80e-02	1.25e-04	0.1343	3.8370747	0.5151752	103.52	LOC107984023	
3014	1.82e-02	1.27e-04	0.0838	-3.8325087	-0.3210646	1126.5	H2AX	H2A.X variant histone
54020	1.95e-02	1.36e-04	0.0444	-3.8144955	-0.1692885	1195.61	SLC37A1	solute carrier family 37 member 1
252884	1.96e-02	1.39e-04	0.1481	3.8097677	0.5642646	71.26	ZNF396	zinc finger protein 396
57828	1.96e-02	1.38e-04	0.0935	3.8110645	0.3563987	296.55	CATSPERG	cation channel sperm associated auxiliary subunit gamma
55152	1.97e-02	1.42e-04	0.0362	-3.8051013	-0.1375665	1521.45	DALRD3	DALR anticodon binding domain containing 3
84923	1.97e-02	1.41e-04	0.0338	-3.8065188	-0.1287816	1621.62	FAM104A	family with sequence similarity 104 member A
160428	2.02e-02	1.47e-04	0.1248	3.7958178	0.4736331	49.71	ALDH1L2	aldehyde dehydrogenase 1 family member L2
8448	2.02e-02	1.47e-04	0.0396	-3.7965356	-0.1505311	310.28	DOC2A	double C2 domain alpha
5523	2.11e-02	1.55e-04	0.0695	3.7832394	0.2628143	371.28	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha
6549	2.11e-02	1.56e-04	0.1931	3.7815145	0.7302233	10.24	SLC9A2	solute carrier family 9 member A2
7124	2.14e-02	1.61e-04	0.2337	-3.7741367	-0.8820718	1037.88	TNF	tumor necrosis factor
11260	2.14e-02	1.60e-04	0.0425	-3.7752473	-0.1604986	2837.36	XPOT	exportin for tRNA
284385	2.16e-02	1.63e-04	0.0754	3.7707839	0.2842591	82.49	ZNF561-AS1	ZNF561 antisense RNA 1 (head to head)
107986871	2.22e-02	1.69e-04	0.1574	3.7620369	0.5923081	63.79	LOC107986871	
105376933	2.24e-02	1.75e-04	0.1427	3.7522963	0.5353537	88.56	LOC105376933	uncharacterized LOC105376933
10608	2.24e-02	1.75e-04	0.0755	-3.7522936	-0.2832159	4177.7	MXD4	MAX dimerization protein 4
51667	2.24e-02	1.74e-04	0.0378	-3.7546349	-0.141741	2430.65	NUB1	negative regulator of ubiquitin like proteins 1
152006	2.24e-02	1.76e-04	0.0341	-3.751829	-0.1279971	4245.58	RNF38	ring finger protein 38
55702	2.24e-02	1.76e-04	0.0394	-3.7516918	-0.1479962	646.89	YJU2	YJU2 splicing factor homolog
100131496	2.26e-02	1.78e-04	0.1666	3.7487233	0.624392	77.73	LOC100131496	uncharacterized LOC100131496
23118	2.28e-02	1.81e-04	0.0681	-3.7436972	-0.2549932	6935.45	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2
6348	2.28e-02	1.81e-04	0.4184	-3.7434652	-1.5661448	229.23	CCL3	C-C motif chemokine ligand 3
100616358	2.30e-02	1.86e-04	0.073	-3.7366772	-0.272671	106.02	MIR4800	microRNA 4800
107986463	2.30e-02	1.89e-04	0.0858	3.7334858	0.3202797	122.69	LOC107986463	uncharacterized LOC107986463
8559	2.30e-02	1.88e-04	0.0421	3.7349532	0.1573922	2067.29	PRPF18	pre-mRNA processing factor 18
693223	2.30e-02	1.89e-04	0.1662	3.7338313	0.6204407	14.47	MIR638	microRNA 638
8228	2.30e-02	1.85e-04	0.0826	-3.7387547	-0.3086653	205.43	PNPLA4	patatin like phospholipase domain containing 4
110599583	2.33e-02	1.93e-04	0.2879	3.7286343	1.0733713	48.73	EEF1AKMT4-ECE2	EEF1AKMT4-ECE2 readthrough
865	2.34e-02	1.95e-04	0.0451	-3.7255735	-0.1681274	2641.18	CBFB	core-binding factor subunit beta
101927597	2.36e-02	1.97e-04	0.067	3.7222227	0.2493968	91.93	NCK1-DT	NCK1 divergent transcript
23369	2.38e-02	2.00e-04	0.0225	-3.7185267	-0.0836077	12368.01	PUM2	pumilio RNA binding family member 2
3105	2.41e-02	2.04e-04	0.0859	-3.7141754	-0.3190254	56634	HLA-A	major histocompatibility complex, class I, A
105376070	2.41e-02	2.05e-04	0.1506	3.7129	0.5591058	20.84	LOC105376070	uncharacterized LOC105376070
79016	2.47e-02	2.11e-04	0.0435	-3.70513	-0.1613438	1408.22	DDA1	DET1 and DDB1 associated 1
79718	2.49e-02	2.14e-04	0.0471	-3.7019952	-0.1744224	6308.1	TBL1XR1	TBL1X/Y related 1
342979	2.50e-02	2.16e-04	0.1951	3.6991258	0.721521	35.38	PALM3	paralemmin 3
6900	2.52e-02	2.22e-04	0.1242	3.6922424	0.4587491	41.27	CNTN2	contactin 2
100130476	2.52e-02	2.22e-04	0.254	-3.6920306	-0.9378925	925.31	WAKMAR2	wound and keratinocyte migration associated lncRNA 2
105379395	2.52e-02	2.20e-04	0.1095	3.6943072	0.4044465	229.27	LOC105379395	uncharacterized LOC105379395
102465521	2.52e-02	2.21e-04	0.1351	3.6932639	0.4988817	12.09	MIR6864	microRNA 6864
101929231	2.53e-02	2.25e-04	0.0355	-3.6889403	-0.1311207	171.3	MMADHC-DT	MMADHC divergent transcript
4792	2.53e-02	2.26e-04	0.3308	-3.6877148	-1.219873	12051.4	NFKBIA	NFKB inhibitor alpha
51725	2.57e-02	2.31e-04	0.1175	3.6823088	0.4325307	161.92	FBXO40	F-box protein 40
55891	2.60e-02	2.35e-04	0.1926	3.6780214	0.7083093	15.38	LENEP	lens epithelial protein
126393	2.62e-02	2.38e-04	0.1827	3.6747712	0.6712501	12.87	HSPB6	heat shock protein family B (small) member 6
154197	2.67e-02	2.44e-04	0.2391	3.6682938	0.8770729	24.09	PNLDC1	PARN like ribonuclease domain containing exonuclease 1
105375361	2.71e-02	2.49e-04	0.137	3.6635182	0.5019076	48.24	LOC105375361	
4117	2.73e-02	2.52e-04	0.0997	3.6603111	0.3647709	334.56	MAK	male germ cell associated kinase
1690	2.76e-02	2.56e-04	0.1618	3.6557013	0.5914307	85.76	COCH	cochlin
112268140	2.79e-02	2.60e-04	0.0432	-3.6520532	-0.1579509	401.22	LOC112268140	loricrin-like
56986	2.87e-02	2.69e-04	0.0393	3.6435986	0.1432575	659.88	DTWD1	DTW domain containing 1
729877	2.88e-02	2.72e-04	0.0698	3.6410134	0.2542657	126.05	TBC1D3H	TBC1 domain family member 3H
100616183	2.90e-02	2.75e-04	0.1049	3.6379028	0.3816603	49.17	MIR4513	microRNA 4513
22889	2.92e-02	2.78e-04	0.0386	3.635043	0.1401864	1549.9	KHDC4	KH domain containing 4, pre-mRNA splicing factor
64332	2.93e-02	2.81e-04	0.2719	-3.6321315	-0.9876896	10079.53	NFKBIZ	NFKB inhibitor zeta
54439	2.93e-02	2.82e-04	0.034	-3.6317449	-0.1234948	3366.05	RBM27	RNA binding motif protein 27
22932	2.97e-02	2.87e-04	0.0666	-3.6267395	-0.2414642	419.9	POMZP3	POM121 and ZP3 fusion
84948	2.99e-02	2.90e-04	0.0609	-3.6239775	-0.2206496	898.17	TIGD5	tigger transposable element derived 5
105372470	2.99e-02	2.91e-04	0.1345	3.6227676	0.4873978	36.16	LOC105372470	
23048	2.99e-02	2.94e-04	0.0362	-3.6207612	-0.1311217	13841.37	FNBP1	formin binding protein 1
105374852	3.09e-02	3.09e-04	0.1888	-3.6075603	-0.6809517	208.48	LOC105374852	uncharacterized LOC105374852
107986495	3.09e-02	3.06e-04	0.1102	3.6103634	0.3977739	59.04	LOC107986495	
221294	3.09e-02	3.08e-04	0.0509	-3.608356	-0.1838113	1245.9	NT5DC1	5'-nucleotidase domain containing 1
5469	3.09e-02	3.10e-04	0.0442	-3.6065818	-0.1595137	4877.83	MED1	mediator complex subunit 1
107985295	3.09e-02	3.10e-04	0.1353	3.6069935	0.487896	27.15	LOC107985295	uncharacterized LOC107985295
26870	3.12e-02	3.16e-04	0.2111	-3.602214	-0.7605224	304	RNU1-2	RNA, U1 small nuclear 2
29777	3.13e-02	3.20e-04	0.0384	-3.5988771	-0.1383337	1343.06	ABT1	activator of basal transcription 1
1655	3.13e-02	3.19e-04	0.0371	-3.5993806	-0.1334574	34118.53	DDX5	DEAD-box helicase 5
79805	3.19e-02	3.27e-04	0.1643	3.592795	0.5902937	45.1	VASH2	vasohibin 2
85388	3.20e-02	3.30e-04	0.0885	-3.5907781	-0.3176264	76.56	SNORD14B	small nucleolar RNA, C/D box 14B
55593	3.20e-02	3.30e-04	0.0291	-3.5902041	-0.1045999	3706.32	OTUD5	OTU deubiquitinase 5
8870	3.23e-02	3.36e-04	0.5092	-3.5861655	-1.8262188	2264.28	IER3	immediate early response 3
85369	3.25e-02	3.39e-04	0.0264	-3.5836474	-0.0944843	2265.29	STRIP1	striatin interacting protein 1
105373467	3.25e-02	3.42e-04	0.2226	-3.5813475	-0.7971936	669.32	LOC105373467	replaced by ID 101954267
3373	3.25e-02	3.44e-04	0.1111	3.5797217	0.3978328	97.61	HYAL1	hyaluronidase 1
105375938	3.25e-02	3.45e-04	0.1761	3.5786895	0.6302015	47.6	LOC105375938	uncharacterized LOC105375938
1352	3.25e-02	3.46e-04	0.0387	-3.5783098	-0.1384942	806.85	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
105378645	3.33e-02	3.57e-04	0.066	-3.5702213	-0.2354941	226.5	TFAP2E-AS1	TFAP2E antisense RNA 1
10865	3.33e-02	3.58e-04	0.0589	-3.5694396	-0.2103694	3261.21	ARID5A	AT-rich interaction domain 5A
107987121	3.35e-02	3.61e-04	0.1422	3.5670354	0.5071536	27.18	LOC107987121	uncharacterized LOC107987121
100272228	3.41e-02	3.69e-04	0.0818	3.5612682	0.2911772	527.09	EOLA2-DT	EOLA2 divergent transcript
101928617	3.44e-02	3.74e-04	0.1126	3.5575403	0.400492	104.06	BTG1-DT	BTG1 divergent transcript
995	3.45e-02	3.77e-04	0.1851	-3.5559676	-0.6582768	148.48	CDC25C	cell division cycle 25C
101928896	3.55e-02	3.90e-04	0.2235	3.5469537	0.792658	12.38	LOC101928896	uncharacterized LOC101928896
57414	3.56e-02	3.92e-04	0.0534	-3.5454511	-0.1894109	1417.44	RHBDD2	rhomboid domain containing 2
105378667	3.60e-02	4.00e-04	0.1569	3.5400142	0.5553545	24.09	LOC105378667	uncharacterized LOC105378667
105374344	3.60e-02	4.00e-04	0.1806	3.5402044	0.6393601	15.43	LOC105374344	uncharacterized LOC105374344
22824	3.61e-02	4.03e-04	0.1527	3.538436	0.5401423	20.23	HSPA4L	heat shock protein family A (Hsp70) member 4 like
81928	3.70e-02	4.15e-04	0.0349	-3.5305514	-0.1232058	528.39	CABLES2	Cdk5 and Abl enzyme substrate 2
105378616	3.71e-02	4.25e-04	0.203	-3.5239286	-0.7154089	495.47	TAF12-DT	TAF12 divergent transcript
285016	3.71e-02	4.23e-04	0.2002	3.5250108	0.7055638	42.67	ALKAL2	ALK and LTK ligand 2
11236	3.71e-02	4.22e-04	0.0575	-3.5260494	-0.2027742	2192.53	RNF139	ring finger protein 139
